standard_strat,haz_3_r,haz_3_se,haz_3_t,haz_3_pvalue,haz_3_ll,haz_3_ul,haz_3_df,haz_3_crit,haz_3_weighted_N,haz_3_unweighted_N,haz_3_weighted_Num,haz_3_unweighted_Num,haz_2_r,haz_2_se,haz_2_t,haz_2_pvalue,haz_2_ll,haz_2_ul,haz_2_df,haz_2_crit,haz_2_weighted_N,haz_2_unweighted_N,haz_2_weighted_Num,haz_2_unweighted_Num,haz_1_r,haz_1_se,haz_1_t,haz_1_pvalue,haz_1_ll,haz_1_ul,haz_1_df,haz_1_crit,haz_1_weighted_N,haz_1_unweighted_N,haz_1_weighted_Num,haz_1_unweighted_Num,haz1_r,haz1_se,haz1_t,haz1_pvalue,haz1_ll,haz1_ul,haz1_df,haz1_crit,haz1_weighted_N,haz1_unweighted_N,haz1_weighted_Num,haz1_unweighted_Num,haz2_r,haz2_se,haz2_t,haz2_pvalue,haz2_ll,haz2_ul,haz2_df,haz2_crit,haz2_weighted_N,haz2_unweighted_N,haz2_weighted_Num,haz2_unweighted_Num,haz3_r,haz3_se,haz3_t,haz3_pvalue,haz3_ll,haz3_ul,haz3_df,haz3_crit,haz3_weighted_N,haz3_unweighted_N,haz3_weighted_Num,haz3_unweighted_Num,waz_3_r,waz_3_se,waz_3_t,waz_3_pvalue,waz_3_ll,waz_3_ul,waz_3_df,waz_3_crit,waz_3_weighted_N,waz_3_unweighted_N,waz_3_weighted_Num,waz_3_unweighted_Num,waz_2_r,waz_2_se,waz_2_t,waz_2_pvalue,waz_2_ll,waz_2_ul,waz_2_df,waz_2_crit,waz_2_weighted_N,waz_2_unweighted_N,waz_2_weighted_Num,waz_2_unweighted_Num,waz_1_r,waz_1_se,waz_1_t,waz_1_pvalue,waz_1_ll,waz_1_ul,waz_1_df,waz_1_crit,waz_1_weighted_N,waz_1_unweighted_N,waz_1_weighted_Num,waz_1_unweighted_Num,waz1_r,waz1_se,waz1_t,waz1_pvalue,waz1_ll,waz1_ul,waz1_df,waz1_crit,waz1_weighted_N,waz1_unweighted_N,waz1_weighted_Num,waz1_unweighted_Num,waz2_r,waz2_se,waz2_t,waz2_pvalue,waz2_ll,waz2_ul,waz2_df,waz2_crit,waz2_weighted_N,waz2_unweighted_N,waz2_weighted_Num,waz2_unweighted_Num,waz3_r,waz3_se,waz3_t,waz3_pvalue,waz3_ll,waz3_ul,waz3_df,waz3_crit,waz3_weighted_N,waz3_unweighted_N,waz3_weighted_Num,waz3_unweighted_Num,whz_3_r,whz_3_se,whz_3_t,whz_3_pvalue,whz_3_ll,whz_3_ul,whz_3_df,whz_3_crit,whz_3_weighted_N,whz_3_unweighted_N,whz_3_weighted_Num,whz_3_unweighted_Num,whz_2_r,whz_2_se,whz_2_t,whz_2_pvalue,whz_2_ll,whz_2_ul,whz_2_df,whz_2_crit,whz_2_weighted_N,whz_2_unweighted_N,whz_2_weighted_Num,whz_2_unweighted_Num,whz_1_r,whz_1_se,whz_1_t,whz_1_pvalue,whz_1_ll,whz_1_ul,whz_1_df,whz_1_crit,whz_1_weighted_N,whz_1_unweighted_N,whz_1_weighted_Num,whz_1_unweighted_Num,whz1_r,whz1_se,whz1_t,whz1_pvalue,whz1_ll,whz1_ul,whz1_df,whz1_crit,whz1_weighted_N,whz1_unweighted_N,whz1_weighted_Num,whz1_unweighted_Num,whz2_r,whz2_se,whz2_t,whz2_pvalue,whz2_ll,whz2_ul,whz2_df,whz2_crit,whz2_weighted_N,whz2_unweighted_N,whz2_weighted_Num,whz2_unweighted_Num,whz3_r,whz3_se,whz3_t,whz3_pvalue,whz3_ll,whz3_ul,whz3_df,whz3_crit,whz3_weighted_N,whz3_unweighted_N,whz3_weighted_Num,whz3_unweighted_Num,baz_3_r,baz_3_se,baz_3_t,baz_3_pvalue,baz_3_ll,baz_3_ul,baz_3_df,baz_3_crit,baz_3_weighted_N,baz_3_unweighted_N,baz_3_weighted_Num,baz_3_unweighted_Num,baz_2_r,baz_2_se,baz_2_t,baz_2_pvalue,baz_2_ll,baz_2_ul,baz_2_df,baz_2_crit,baz_2_weighted_N,baz_2_unweighted_N,baz_2_weighted_Num,baz_2_unweighted_Num,baz_1_r,baz_1_se,baz_1_t,baz_1_pvalue,baz_1_ll,baz_1_ul,baz_1_df,baz_1_crit,baz_1_weighted_N,baz_1_unweighted_N,baz_1_weighted_Num,baz_1_unweighted_Num,baz1_r,baz1_se,baz1_t,baz1_pvalue,baz1_ll,baz1_ul,baz1_df,baz1_crit,baz1_weighted_N,baz1_unweighted_N,baz1_weighted_Num,baz1_unweighted_Num,baz2_r,baz2_se,baz2_t,baz2_pvalue,baz2_ll,baz2_ul,baz2_df,baz2_crit,baz2_weighted_N,baz2_unweighted_N,baz2_weighted_Num,baz2_unweighted_Num,baz3_r,baz3_se,baz3_t,baz3_pvalue,baz3_ll,baz3_ul,baz3_df,baz3_crit,baz3_weighted_N,baz3_unweighted_N,baz3_weighted_Num,baz3_unweighted_Num,haz_r,haz_se,haz_t,haz_pvalue,haz_ll,haz_ul,haz_df,haz_crit,haz_weighted_N,haz_unweighted_N,haz_weighted_Num,haz_unweighted_Num,waz_r,waz_se,waz_t,waz_pvalue,waz_ll,waz_ul,waz_df,waz_crit,waz_weighted_N,waz_unweighted_N,waz_weighted_Num,waz_unweighted_Num,whz_r,whz_se,whz_t,whz_pvalue,whz_ll,whz_ul,whz_df,whz_crit,whz_weighted_N,whz_unweighted_N,whz_weighted_Num,whz_unweighted_Num,baz_r,baz_se,baz_t,baz_pvalue,baz_ll,baz_ul,baz_df,baz_crit,baz_weighted_N,baz_unweighted_N,baz_weighted_Num,baz_unweighted_Num,haz_sd,waz_sd,whz_sd,baz_sd
Total,.0045504738,.0028540117,1.5944132,.11151572,.0013236464,.015521503,470,1.9650241,6476035.5,471,29469.029,3,.06592454,.017864047,3.6903477,.00025017315,.038379222,.11095838,470,1.9650241,6476035.5,471,426929.69,25,.21888793,.026260734,8.3351793,8.5982500e-16,.17165075,.2748118,470,1.9650241,6476035.5,471,1417525.9,109,.14398766,.024533799,5.8689508,8.2904830e-09,.10213788,.19918092,470,1.9650241,6476035.5,471,932469.19,64,.035464887,.014260403,2.4869485,.01323035,.015948866,.076993443,470,1.9650241,6476035.5,471,229671.86,14,.0080459714,.0046606278,1.7263707,.084937871,.0025682019,.024915531,470,1.9650241,6476035.5,471,52105.996,5,.012680111,.0048148646,2.6335342,.0087172277,.0059961863,.026615085,490,1.9648172,6706610.5,491,85040.563,9,.027459182,.0074946298,3.6638477,.000275545,.016006503,.046717227,490,1.9648172,6706610.5,491,184158.05,18,.12349162,.020377092,6.0603161,2.7122637e-09,.088696025,.16940014,490,1.9648172,6706610.5,491,828210.19,66,.26333511,.028115889,9.3660603,2.7405117e-19,.21190572,.32214427,490,1.9648172,6706610.5,491,1766086.1,126,.058724515,.015893647,3.6948419,.00024481842,.034246378,.098906934,490,1.9648172,6706610.5,491,393842.44,28,.006253859,.0039369077,1.5885205,.11281369,.0018093945,.021381535,490,1.9648172,6706610.5,491,41942.195,4,.0094207814,.0041939332,2.2462878,.025151173,.0039170627,.022483023,468,1.9650458,6443428,469,60702.125,7,.014578799,.0057743583,2.5247478,.01190758,.0066707539,.031563781,468,1.9650458,6443428,469,93937.438,9,.060716864,.013186092,4.6046138,5.3320341e-06,.039421,.092410348,468,1.9650458,6443428,469,391224.75,34,.31582752,.02926073,10.793563,2.1035722e-24,.26132134,.37591693,468,1.9650458,6443428,469,2035011.9,156,.076720595,.016414577,4.6739306,3.8695898e-06,.050062489,.11584296,468,1.9650458,6443428,469,494343.66,35,.0051388997,.0025040763,2.0522137,.040704619,.001969046,.013343493,468,1.9650458,6443428,469,33112.129,5,.0094086342,.0041884738,2.2463157,.025148375,.003912088,.02245383,469,1.965035,6451746.5,470,60702.125,7,.016076472,.0059644561,2.695379,.0072834515,.0077280416,.033142295,469,1.965035,6451746.5,470,103721.31,10,.061528873,.013342671,4.6114359,5.1646098e-06,.039971143,.093580037,469,1.965035,6451746.5,470,396968.69,33,.32213819,.029625826,10.87356,1.0335370e-24,.26687005,.38287464,469,1.965035,6451746.5,470,2078353.9,157,.08365918,.016817762,4.9744534,9.1989182e-07,.056002501,.12319163,469,1.965035,6451746.5,470,539747.81,40,.0048083519,.002478074,1.9403584,.052935127,.001743368,.013190627,469,1.965035,6451746.5,470,31022.268,4,-.12424499,.074915975,-1.6584579,.097892262,-.27145669,.022966716,470,1.9650241,6476035.5,471,21503.539,1,.32930526,.066127904,4.9798231,8.8683583e-07,.19937205,.4592385,484,1.9648775,6650440,485,18740.006,3,.5782873,.056034736,10.320157,1.3111656e-22,.46817276,.68840182,462,1.965112,6387257.5,463,10973.717,2,.6061883,.056726497,10.686158,5.6630605e-24,.49471501,.71766156,463,1.9651009,6395576.5,464,29662.781,3,1.1297462,1.0781062,.96413904,.98566163
Male,.0065253153,.0050228783,1.2991188,.19452426,.0014310157,.029224159,482,1.9648979,3350083,244,21860.348,2,.072677046,.025956715,2.7999325,.0053165229,.03546698,.14313273,482,1.9648979,3350083,244,243474.14,17,.27127546,.039541479,6.8605285,2.1141356e-11,.20081875,.35545701,482,1.9648979,3350083,244,908795.25,67,.16555598,.03772046,4.3890233,.000014000773,.10396152,.2533263,482,1.9648979,3350083,244,554626.31,35,.063178502,.026812805,2.3562808,.018858295,.026944442,.1410746,482,1.9648979,3350083,244,211653.22,11,.013817609,.0088191992,1.5667646,.11782599,.0039128023,.0475972,482,1.9648979,3350083,244,46290.137,4,.015297108,.0070314808,2.1755173,.03006668,.006170128,.037416618,492,1.9647974,3485175.5,254,53313.109,6,.034685344,.011620876,2.9847441,.0029793892,.017844224,.066347152,492,1.9647974,3485175.5,254,120884.5,12,.14700653,.030877456,4.7609663,2.5377135e-06,.096034192,.2184943,492,1.9647974,3485175.5,254,512343.56,40,.25894031,.040036771,6.4675627,2.4061259e-10,.18824916,.34489846,492,1.9647974,3485175.5,254,902452.44,60,.059112951,.023946224,2.4685707,.013904201,.026254728,.12770079,492,1.9647974,3485175.5,254,206019,12,.012034457,.0075648674,1.5908352,.11228897,.0034773853,.040786736,492,1.9647974,3485175.5,254,41942.195,4,.0091107367,.0052086348,1.7491603,.080901124,.0029505126,.027774299,481,1.9649081,3341764.3,243,30445.934,4,.019056177,.0092517044,2.0597477,.039960191,.007292341,.048863064,481,1.9649081,3341764.3,243,63681.25,6,.081042305,.022459731,3.6083384,.00034043472,.046493288,.13756076,481,1.9649081,3341764.3,243,270824.28,21,.29653999,.038769949,7.6487079,1.1152350e-13,.22635379,.37785977,481,1.9649081,3341764.3,243,990966.75,80,.059962571,.018226216,3.2899079,.0010757566,.032686844,.10746998,481,1.9649081,3341764.3,243,200380.78,16,.0060422234,.0039332416,1.5361942,.12514825,.0016758235,.021539923,481,1.9649081,3341764.3,243,20191.686,3,.0090881139,.0051955511,1.7492107,.080891073,.00294333,.027704889,482,1.9648979,3350083,244,30445.934,4,.021929344,.0096828574,2.2647595,.023970686,.0091500357,.051626801,482,1.9648979,3350083,244,73465.125,7,.081774369,.022749282,3.5945909,.00035835075,.04680692,.13905367,482,1.9648979,3350083,244,273950.91,19,.30614644,.039816212,7.6889892,8.4025621e-14,.23388578,.3893854,482,1.9648979,3350083,244,1025615.9,78,.072613753,.019696251,3.6866786,.00025301884,.042212095,.12211932,482,1.9648979,3350083,244,243262.08,20,.0054033957,.0038692805,1.3964859,.16321093,.0013184438,.021867676,482,1.9648979,3350083,244,18101.824,2,-.14202093,.1193482,-1.1899712,.23464349,-.37652797,.092486098,482,1.9648979,3350083,244,21503.539,1,.26323432,.097766623,2.6924763,.00733621,.071138829,.45532981,488,1.9648371,3454729.5,250,6082.8374,1,.52047807,.075947784,6.8531046,2.2412051e-11,.37124452,.66971165,477,1.9649497,3311318.3,239,6068.583,1,.55846244,.078947134,7.0738788,5.3872514e-12,.40333614,.71358877,478,1.9649392,3319637,240,2619.5317,1,1.2598443,1.1335306,.96843201,1.0065613
Female,.0024340365,.0024409951,.99714929,.31918928,.00033836067,.01728509,485,1.9648672,3125952.5,227,7608.6826,1,.058687881,.024373997,2.4078071,.016420985,.025531996,.12919179,485,1.9648672,3125952.5,227,183455.53,8,.16274421,.033003639,4.9310989,1.1249567e-06,.10775631,.23829812,485,1.9648672,3125952.5,227,508730.69,42,.12087288,.030234197,3.9978862,.000073863179,.0728819,.19385715,485,1.9648672,3125952.5,227,377842.91,29,.0057642106,.0033559164,1.7176265,.086503096,.0018313266,.017990967,485,1.9648672,3125952.5,227,18018.648,3,.0018605076,.0018668924,.99657995,.31946537,.00025850706,.013258642,485,1.9648672,3125952.5,227,5815.8584,1,.0098488573,.006530975,1.5080224,.13218673,.0026611325,.035754647,495,1.9647679,3221435,237,31727.453,3,.019641414,.0092333034,2.1272359,.033894259,.007749035,.04888574,495,1.9647679,3221435,237,63273.539,6,.098051526,.025831301,3.7958417,.00016538754,.057706624,.16176094,495,1.9647679,3221435,237,315866.63,26,.26808974,.039432667,6.7986712,3.0489999e-11,.19794568,.35217586,495,1.9647679,3221435,237,863633.63,66,.05830428,.020578597,2.8332486,.004795799,.028792912,.11449743,495,1.9647679,3221435,237,187823.44,16,0,0,0,0,0,0,495,1.9647679,3221435,237,0,0,.0097548272,.0066636112,1.463895,.1438718,.0025334461,.036800735,484,1.9648775,3101663.8,226,30256.191,3,.0097548272,.0066636112,1.463895,.1438718,.0025334461,.036800735,484,1.9648775,3101663.8,226,30256.191,3,.038818024,.012366799,3.13889,.0017994479,.020622427,.071889535,484,1.9648775,3101663.8,226,120400.45,13,.33660811,.043932389,7.6619582,1.0073299e-13,.25635239,.42754397,484,1.9648775,3101663.8,226,1044045.2,76,.09477587,.027676756,3.4243851,.00066856196,.052623555,.16481869,484,1.9648775,3101663.8,226,293962.88,19,.0041656494,.0030164164,1.3809929,.16791844,.0010012933,.017158462,484,1.9648775,3101663.8,226,12920.443,2,.0097548272,.0066636112,1.463895,.1438718,.0025334461,.036800735,484,1.9648775,3101663.8,226,30256.191,3,.0097548272,.0066636112,1.463895,.1438718,.0025334461,.036800735,484,1.9648775,3101663.8,226,30256.191,3,.039661869,.01240245,3.197906,.0014749668,.021317119,.072622009,484,1.9648775,3101663.8,226,123017.78,14,.33941075,.04401812,7.7107053,7.1743182e-14,.25890365,.43041265,484,1.9648775,3101663.8,226,1052738,79,.095589258,.027645912,3.4576273,.00059302256,.053375099,.16535833,484,1.9648775,3101663.8,226,296485.75,20,.0041656494,.0030164164,1.3809929,.16791844,.0010012933,.017158462,484,1.9648775,3101663.8,226,12920.443,2,-.10519452,.088089868,-1.1941727,.23299409,-.27827942,.067890376,485,1.9648672,3125952.5,227,0,0,.40073141,.088074349,4.549922,6.7653973e-06,.22768402,.57377881,493,1.9647875,3195710.5,235,12657.168,2,.64052022,.082239151,7.7885075,4.1890204e-14,.47892869,.80211174,482,1.9648979,3075939.3,224,4905.1338,1,.65769535,.081207559,8.0989428,4.5776307e-15,.49813077,.81725991,482,1.9648979,3075939.3,224,27043.25,2,.9736464,1.0123774,.95776445,.96219414
0 to 5 months,0,0,0,0,0,0,492,1.9647974,554939,74,0,0,.013212061,.010001466,1.3210126,.18711123,.0029571115,.056997094,492,1.9647974,554939,74,7331.8887,2,.25719953,.059016172,4.358119,.000015979796,.15875559,.38849702,492,1.9647974,554939,74,142730.05,20,.26094908,.068674333,3.7998052,.00016295329,.14922488,.415472,492,1.9647974,554939,74,144810.83,17,.09177655,.051285841,1.7895106,.07414756,.029282805,.25289479,492,1.9647974,554939,74,50930.391,4,.078704715,.050186511,1.5682445,.11746698,.021457883,.24970557,492,1.9647974,554939,74,43676.32,3,.0027818247,.0028052945,.99163371,.32186267,.00038236447,.019938337,493,1.9647875,556791.38,75,1548.896,1,.057389844,.033877529,1.6940386,.090889543,.017477229,.17245229,493,1.9647875,556791.38,75,31954.17,4,.18716197,.052598007,3.5583472,.00040928469,.10453136,.31232867,493,1.9647875,556791.38,75,104210.17,16,.22230665,.064657561,3.438216,.00063515705,.12056583,.37344491,493,1.9647875,556791.38,75,123778.43,15,.10329369,.051456351,2.0074041,.045251921,.037231088,.25547251,493,1.9647875,556791.38,75,57513.031,6,.042624269,.04126193,1.0330168,.30210248,.0060691908,.24506614,493,1.9647875,556791.38,75,23732.824,1,.010957523,.0086874561,1.261304,.20779704,.002288152,.05080102,492,1.9647974,554939,74,6080.7573,2,.010957523,.0086874561,1.261304,.20779704,.002288152,.05080102,492,1.9647974,554939,74,6080.7573,2,.13479988,.050726924,2.6573637,.008131545,.062167179,.26803905,492,1.9647974,554939,74,74805.719,9,.2251769,.060056224,3.7494347,.00019830128,.12874915,.36367869,492,1.9647974,554939,74,124959.45,18,.034075256,.024653761,1.3821524,.16755205,.008032362,.13321611,492,1.9647974,554939,74,18909.689,2,0,0,0,0,0,0,492,1.9647974,554939,74,0,0,.010957523,.0086874561,1.261304,.20779704,.002288152,.05080102,492,1.9647974,554939,74,6080.7573,2,.028588062,.019515997,1.4648528,.14359976,.0073437984,.10479988,492,1.9647974,554939,74,15864.631,3,.14878409,.051081751,2.9126661,.0037464765,.073328629,.27854478,492,1.9647974,554939,74,82566.094,10,.23752141,.063279994,3.753499,.00019520053,.13554008,.38230038,492,1.9647974,554939,74,131809.91,17,.08568085,.04747704,1.8046798,.071736135,.027698217,.23562761,492,1.9647974,554939,74,47547.648,4,0,0,0,0,0,0,492,1.9647974,554939,74,0,0,.099191211,.22300348,.44479671,.65666229,-.33896542,.53734785,492,1.9647974,554939,74,0,0,.1826015,.22560437,.8093881,.4186832,-.26066539,.62586838,492,1.9647974,555242.5,74,5889.3818,1,.1876882,.14545736,1.2903315,.19754292,-.098107465,.47348386,491,1.9648073,553390.13,73,4905.1338,1,.18917923,.18777008,1.0075047,.31418857,-.17975277,.55811125,491,1.9648073,553390.13,73,2619.5317,1,1.4410887,1.3892083,1.0606103,1.2360207
6 to 11 months,.021578629,.021329669,1.0116719,.31219321,.0030207986,.13832581,491,1.9648073,723009.19,87,15601.547,1,.099601261,.042412866,2.3483737,.019251324,.041851245,.21883911,491,1.9648073,723009.19,87,72012.625,7,.30651179,.064782575,4.7313924,2.9197981e-06,.19540071,.4457978,491,1.9648073,723009.19,87,221610.84,22,.14212406,.041326053,3.439091,.00063336315,.078440659,.24383026,491,1.9648073,723009.19,87,102757,16,.025224695,.014135821,1.7844521,.074967586,.0082935691,.074136399,491,1.9648073,723009.19,87,18237.688,4,.0036151933,.0036387215,.99353397,.32093918,.00049832586,.025725298,491,1.9648073,723009.19,87,2613.8181,1,.047639549,.032860033,1.4497718,.1477593,.011910897,.1718971,492,1.9647974,726318.19,88,34601.473,2,.11057169,.050002959,2.211303,.027473869,.043776315,.25238532,492,1.9647974,726318.19,88,80310.234,5,.19079399,.056053702,3.4037716,.00071889593,.10356726,.32486203,492,1.9647974,726318.19,88,138577.16,14,.31209067,.060101673,5.1927118,3.0390223e-07,.20744415,.44020608,492,1.9647974,726318.19,88,226677.14,30,.02049063,.012835314,1.596426,.11103577,.0059194309,.06845995,492,1.9647974,726318.19,88,14882.717,3,.0028773374,.0028979629,.99288279,.32125515,.00039643567,.02056437,492,1.9647974,726318.19,88,2089.8625,1,.026278954,.025850248,1.0165843,.30985191,.0036942672,.16418122,491,1.9648073,723009.19,87,18999.926,1,.059341233,.040491123,1.4655368,.14341456,.014941975,.20783488,491,1.9648073,723009.19,87,42904.258,2,.15111539,.05320216,2.8403993,.0046928246,.073049948,.28679463,491,1.9648073,723009.19,87,109257.81,9,.40454197,.065787487,6.1492238,1.6146667e-09,.28431186,.53743529,491,1.9648073,723009.19,87,292487.56,36,.038916662,.017150566,2.2691181,.023694202,.016181212,.090653114,491,1.9648073,723009.19,87,28137.105,6,.0028905061,.0029114026,.99282253,.32128546,.00039819223,.020659976,491,1.9648073,723009.19,87,2089.8625,1,.026278954,.025850248,1.0165843,.30985191,.0036942672,.16418122,491,1.9648073,723009.19,87,18999.926,1,.059341233,.040491123,1.4655368,.14341456,.014941975,.20783488,491,1.9648073,723009.19,87,42904.258,2,.17625231,.056792106,3.1034648,.0020229958,.090256274,.31574714,491,1.9648073,723009.19,87,127432.03,10,.29580867,.059081536,5.0067873,7.7291708e-07,.19393945,.42309973,491,1.9648073,723009.19,87,213872.41,30,.044089254,.017984485,2.4515162,.014572972,.019552989,.096388169,491,1.9648073,723009.19,87,31876.938,7,0,0,0,0,0,0,491,1.9648073,723009.19,87,0,0,-.23932995,.1743551,-1.372658,.17048532,-.58190411,.10324423,491,1.9648073,723009.19,87,0,0,.17787328,.17631777,1.0088222,.31355679,-.16855714,.52430367,491,1.9648073,707318.31,87,0,0,.526492,.16462636,3.1981025,.0014728525,.2030313,.8499527,490,1.9648172,704009.31,86,0,0,.46295896,.16756579,2.7628489,.005945418,.13372281,.79219508,490,1.9648172,704009.31,86,16643.193,1,1.3087537,1.2564329,1.1395745,1.1636155
12 to 23 months,.0042725964,.004293201,.99520063,.32012889,.00059046719,.030221978,491,1.9648073,1464870.5,109,6258.8003,1,.060173936,.02896801,2.0772548,.038297322,.022867994,.14905559,491,1.9648073,1464870.5,109,88147.023,8,.18121868,.043205407,4.1943517,.000032474345,.11103301,.28171054,491,1.9648073,1464870.5,109,265461.91,27,.10126555,.035229918,2.874419,.0042233285,.050029881,.19424294,491,1.9648073,1464870.5,109,148340.91,12,.021684084,.014721229,1.4729806,.14139701,.0056371787,.079746984,491,1.9648073,1464870.5,109,31764.375,3,.0039702202,.0039905636,.99490213,.32027391,.00054853957,.02813483,491,1.9648073,1464870.5,109,5815.8584,1,0,0,0,0,0,0,492,1.9647974,1479353.3,110,0,0,.010040215,.0072336122,1.3879946,.16576688,.0024213928,.040654428,492,1.9647974,1479353.3,110,14853.025,2,.09319336,.03640753,2.5597277,.010773168,.042220227,.19328773,492,1.9647974,1479353.3,110,137865.91,11,.21402082,.05100958,4.1956987,.00003227764,.13048701,.33069256,492,1.9647974,1479353.3,110,316612.41,24,.048760507,.027069941,1.8012787,.072271116,.016023625,.13893634,492,1.9647974,1479353.3,110,72134.016,6,.0052731144,.0052926927,.99630088,.31959373,.00072952028,.037065439,492,1.9647974,1479353.3,110,7800.7993,1,0,0,0,0,0,0,491,1.9648073,1464870.5,109,0,0,0,0,0,0,0,0,491,1.9648073,1464870.5,109,0,0,.053333856,.025849091,2.0632777,.039611343,.02018746,.13348959,491,1.9648073,1464870.5,109,78127.195,7,.29364344,.055410564,5.2994123,1.7581185e-07,.1973969,.41268808,491,1.9648073,1464870.5,109,430149.59,37,.076762132,.038004257,2.01983,.043943666,.028173001,.19254816,491,1.9648073,1464870.5,109,112446.59,6,.0053252485,.0053453366,.99624193,.31962332,.000736596,.037428398,491,1.9648073,1464870.5,109,7800.7993,1,0,0,0,0,0,0,491,1.9648073,1464870.5,109,0,0,0,0,0,0,0,0,491,1.9648073,1464870.5,109,0,0,.043194376,.024864128,1.7372167,.082976013,.013654234,.12832813,491,1.9648073,1464870.5,109,63274.168,5,.32156691,.056932643,5.6481991,2.7487248e-08,.22108977,.44180655,491,1.9648073,1464870.5,109,471053.84,41,.081602111,.03822241,2.1349285,.033261273,.031588521,.19486737,491,1.9648073,1464870.5,109,119536.53,7,.0053252485,.0053453366,.99624193,.31962332,.000736596,.037428398,491,1.9648073,1464870.5,109,7800.7993,1,-.12984772,.12036314,-1.0787998,.28120667,-.36633807,.10664263,491,1.9648073,1464870.5,109,0,0,.40010327,.11820571,3.384805,.00076922233,.16785301,.63235354,492,1.9647974,1479353.3,110,12850.623,2,.63480943,.11824354,5.3686609,1.2258222e-07,.4024837,.86713523,491,1.9648073,1464870.5,109,6068.583,1,.69214481,.11663117,5.9344754,5.5742726e-09,.46298704,.92130256,491,1.9648073,1464870.5,109,0,0,1.0446833,.97209662,.93728179,.92266876
24 to 35 months,0,0,0,0,0,0,477,1.9649497,1072115.5,73,0,0,.034971975,.034179449,1.0231872,.30673799,.0049292571,.20955749,477,1.9649497,1072115.5,73,37493.996,1,.184678,.059232146,3.1178679,.0019317267,.094666541,.32915798,477,1.9649497,1072115.5,73,197996.16,15,.091332175,.053116038,1.719484,.08617498,.027784673,.26117697,477,1.9649497,1072115.5,73,97918.641,4,0,0,0,0,0,0,477,1.9649497,1072115.5,73,0,0,0,0,0,0,0,0,477,1.9649497,1072115.5,73,0,0,.020312877,.010366487,1.9594755,.050620198,.007395362,.054553419,493,1.9647875,1279238.8,89,25985.02,4,.020312877,.010366487,1.9594755,.050620198,.007395362,.054553419,493,1.9647875,1279238.8,89,25985.02,4,.085372135,.033782888,2.527082,.011813075,.038362321,.17925058,493,1.9647875,1279238.8,89,109211.34,11,.33254567,.066090077,5.0317035,6.8231407e-07,.21725674,.47211331,493,1.9647875,1279238.8,89,425405.31,28,.10426624,.047126364,2.2124822,.027390892,.041403148,.2387986,493,1.9647875,1279238.8,89,133381.42,8,0,0,0,0,0,0,493,1.9647875,1279238.8,89,0,0,.011860915,.0085032918,1.3948616,.16370676,.0028768168,.0475634,477,1.9649497,1072115.5,73,12716.271,2,.011860915,.0085032918,1.3948616,.16370676,.0028768168,.0475634,477,1.9649497,1072115.5,73,12716.271,2,.016839506,.0099456683,1.6931497,.091079891,.0052333768,.05281806,477,1.9649497,1072115.5,73,18053.895,3,.40267992,.07489007,5.3769469,1.1883478e-07,.26774183,.55415857,477,1.9649497,1072115.5,73,431719.41,30,.20355459,.064044103,3.1783502,.0015773717,.10522605,.35709649,477,1.9649497,1072115.5,73,218234.03,14,.014459481,.010843642,1.3334523,.18301983,.0032786464,.06141961,477,1.9649497,1072115.5,73,15502.233,2,.011860915,.0085032918,1.3948616,.16370676,.0028768168,.0475634,477,1.9649497,1072115.5,73,12716.271,2,.011860915,.0085032918,1.3948616,.16370676,.0028768168,.0475634,477,1.9649497,1072115.5,73,12716.271,2,.011860915,.0085032918,1.3948616,.16370676,.0028768168,.0475634,477,1.9649497,1072115.5,73,12716.271,2,.416522,.074997008,5.5538483,4.6492620e-08,.28020784,.56692004,477,1.9649497,1072115.5,73,446559.69,32,.21100645,.064237647,3.2847786,.0010957271,.11134766,.36338776,477,1.9649497,1072115.5,73,226223.28,15,.014459481,.010843642,1.3334523,.18301983,.0032786464,.06141961,477,1.9649497,1072115.5,73,15502.233,2,-.13066682,.15634499,-.83575952,.40370864,-.43787688,.17654324,477,1.9649497,1072115.5,73,0,0,.49631035,.15014364,3.3055701,.0010171932,.20130703,.79131365,491,1.9648073,1266522.5,87,0,0,.82056057,.16206236,5.0632401,5.9070322e-07,.50211281,1.1390084,475,1.9649708,1059399.3,71,0,0,.86712521,.16046508,5.4038253,1.0340155e-07,.55181605,1.1824343,475,1.9649708,1059399.3,71,0,0,.96371746,1.125832,1.1075616,1.1059948
